cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy
1950-01-03,16.6600,1.1405,,,,,,,,,0.0200,0.0100
1950-01-04,16.8500,0.4748,,,,,,,,,0.0300,0.0100
1950-01-05,16.9300,0.2953,0.7993,,,,,,,,0.0400,0.0100
1950-01-06,16.9800,0.5889,0.3834,0.6304,,,,,,,0.0500,0.0100
1950-01-09,17.0800,-0.2927,0.4404,0.4511,0.6191,,,,,,0.0100,0.0100
1950-01-10,17.0300,0.3523,0.1466,0.1957,0.2646,0.4360,,,,,0.0200,0.0100
1950-01-11,17.0900,-1.9310,0.0293,0.2148,0.2347,0.2820,0.4217,,,,0.0300,0.0100
1950-01-12,16.7600,-0.5370,-0.7976,-0.6289,-0.3237,-0.2001,-0.0883,0.0842,,,0.0400,0.0100
1950-01-13,16.6700,0.2999,-1.2564,-0.7126,-0.6070,-0.3663,-0.2559,-0.1518,0.0074,,0.0500,0.0100
1950-01-16,16.7200,0.8373,-0.1198,-0.7378,-0.4610,-0.4272,-0.2565,-0.1775,-0.0961,0.0394,0.0100,0.0100
1950-01-17,16.8600,-0.0593,0.5658,0.1990,-0.3432,-0.2021,-0.2175,-0.1015,-0.0518,0.0066,0.0200,0.0100
1950-01-18,16.8500,0.1187,0.3856,0.3569,0.1341,-0.2862,-0.1783,-0.1949,-0.0963,-0.0526,0.0300,0.0100
1950-01-19,16.8700,0.1778,0.0297,0.2966,0.2972,0.1310,-0.2184,-0.1358,-0.1557,-0.0724,0.0400,0.0100
1950-01-20,16.9000,0.1183,0.1481,0.0790,0.2667,0.2732,0.1388,-0.1615,-0.0965,-0.1186,0.0500,0.0100
1950-01-23,16.9200,-0.3546,0.1478,0.1381,0.0888,0.2370,0.2472,0.1358,-0.1263,-0.0725,0.0100,0.0100
1950-01-24,16.8600,-0.7117,-0.1184,-0.0197,0.0148,0.0000,0.1383,0.1610,0.0743,-0.1519,0.0200,0.0100
1950-01-25,16.7400,-0.0597,-0.5357,-0.3167,-0.1928,-0.1305,-0.1186,0.0169,0.0520,-0.0132,0.0300,0.0100
1950-01-26,16.7300,0.5380,-0.3884,-0.3775,-0.2528,-0.1664,-0.1188,-0.1103,0.0074,0.0396,0.0400,0.0100
1950-01-27,16.8200,1.1891,0.2385,-0.0795,-0.1489,-0.0952,-0.0495,-0.0255,-0.0297,0.0660,0.0500,0.0100
1950-01-30,17.0200,0.1763,0.8570,0.5537,0.2377,0.1188,0.1187,0.1271,0.1261,0.1055,0.0100,0.0100
1950-01-31,17.0500,0.0000,0.6751,0.6288,0.4584,0.2252,0.1284,0.1270,0.1333,0.1317,0.0200,0.0100
1950-02-01,17.0500,1.0557,0.0880,0.4499,0.4710,0.3661,0.1874,0.1099,0.1110,0.1183,0.0300,0.0200
1950-02-02,17.2300,0.3482,0.5251,0.4091,0.5999,0.5871,0.4809,0.3119,0.2288,0.2165,0.0400,0.0200
1950-02-03,17.2900,0.1735,0.6953,0.4654,0.3935,0.5488,0.5466,0.4614,0.3163,0.2422,0.0500,0.0200
1950-02-06,17.3200,-0.5196,0.2600,0.5208,0.3919,0.3491,0.4856,0.4926,0.4249,0.3002,0.0100,0.0200
1950-02-07,17.2300,-0.1161,-0.1737,0.0000,0.2606,0.2090,0.2035,0.3411,0.3649,0.3187,0.0200,0.0200
1950-02-08,17.2100,0.4068,-0.3194,-0.1546,-0.0290,0.1854,0.1548,0.1578,0.2838,0.3112,0.0300,0.0200
1950-02-09,17.2800,-0.2315,0.1450,-0.0773,-0.0145,0.0579,0.2221,0.1907,0.1889,0.2974,0.0400,0.0200
1950-02-10,17.2400,-1.0441,0.0869,0.0193,-0.1160,-0.0580,0.0097,0.1573,0.1378,0.1420,0.0500,0.0200
1950-02-14,17.0600,0.0000,-0.6414,-0.2908,-0.2471,-0.3023,-0.2226,-0.1409,0.0073,0.0065,0.0200,0.0200
1950-02-15,17.0600,-0.4103,-0.5276,-0.4284,-0.2185,-0.1980,-0.2522,-0.1910,-0.1235,0.0065,0.0300,0.0200
1950-02-16,16.9900,0.9417,-0.2056,-0.4891,-0.4243,-0.2569,-0.2334,-0.2748,-0.2184,-0.1552,0.0400,0.0200
1950-02-17,17.1500,0.2916,0.2636,0.1758,-0.1318,-0.1520,-0.0584,-0.0667,-0.1239,-0.0906,0.0500,0.0200
1950-02-20,17.2000,-0.1744,0.6114,0.2727,0.2047,-0.0468,-0.0779,-0.0083,-0.0219,-0.0777,0.0100,0.0200
1950-02-21,17.1700,0.2330,0.0582,0.3494,0.1606,0.1286,-0.0682,-0.0918,-0.0292,-0.0389,0.0200,0.0200
