cdate,cp,pctlead,pctlag1,dow,moy
1950-01-03,16.66,1.14,0.00,2.00,1.00
1950-01-04,16.85,0.47,1.14,3.00,1.00
1950-01-05,16.93,0.30,0.47,4.00,1.00
1950-01-06,16.98,0.59,0.30,5.00,1.00
1950-01-09,17.08,-0.29,0.59,1.00,1.00
1950-01-10,17.03,0.35,-0.29,2.00,1.00
1950-01-11,17.09,-1.93,0.35,3.00,1.00
1950-01-12,16.76,-0.54,-1.93,4.00,1.00
1950-01-13,16.67,0.30,-0.54,5.00,1.00
1950-01-16,16.72,0.84,0.30,1.00,1.00
1950-01-17,16.86,-0.06,0.84,2.00,1.00
1950-01-18,16.85,0.12,-0.06,3.00,1.00
1950-01-19,16.87,0.18,0.12,4.00,1.00
1950-01-20,16.90,0.12,0.18,5.00,1.00
1950-01-23,16.92,-0.35,0.12,1.00,1.00
1950-01-24,16.86,-0.71,-0.35,2.00,1.00
1950-01-25,16.74,-0.06,-0.71,3.00,1.00
1950-01-26,16.73,0.54,-0.06,4.00,1.00
1950-01-27,16.82,1.19,0.54,5.00,1.00
1950-01-30,17.02,0.18,1.19,1.00,1.00
1950-01-31,17.05,0.00,0.18,2.00,1.00
1950-02-01,17.05,1.06,0.00,3.00,2.00
1950-02-02,17.23,0.35,1.06,4.00,2.00
1950-02-03,17.29,0.17,0.35,5.00,2.00
1950-02-06,17.32,-0.52,0.17,1.00,2.00
1950-02-07,17.23,-0.12,-0.52,2.00,2.00
1950-02-08,17.21,0.41,-0.12,3.00,2.00
1950-02-09,17.28,-0.23,0.41,4.00,2.00
1950-02-10,17.24,-1.04,-0.23,5.00,2.00
1950-02-14,17.06,0.00,-1.04,2.00,2.00
1950-02-15,17.06,-0.41,0.00,3.00,2.00
1950-02-16,16.99,0.94,-0.41,4.00,2.00
1950-02-17,17.15,0.29,0.94,5.00,2.00
1950-02-20,17.20,-0.17,0.29,1.00,2.00
1950-02-21,17.17,0.23,-0.17,2.00,2.00
1950-02-23,17.21,0.41,0.23,4.00,2.00
1950-02-24,17.28,0.00,0.41,5.00,2.00
1950-02-27,17.28,-0.35,0.00,1.00,2.00
1950-02-28,17.22,0.12,-0.35,2.00,2.00
1950-03-01,17.24,-0.06,0.12,3.00,3.00
1950-03-02,17.23,0.35,-0.06,4.00,3.00
1950-03-03,17.29,0.17,0.35,5.00,3.00
